Code,Description
1,A-WELD MARK
2,FLOW MISS
10,UNKNOWN
11,BLACK SPOTS
11,LIGHT SPRAY
12,ASM PITS
12,BURR
13,Door Foil Heat Shield
14,PLASTIC ON OVERLAY
15,DOOR SPACER ASSM WRONG
16,DOOR TAPE VISIBLE ASMWRG
17,DR HANDLE-SCREW DEF
18,SS DRW-PANEL-DEF
19,DOOR BAFFLE LOOSE
20,ROUGH SPRAY
21,SS DRAWER PANEL DAMAGED
21,UNKNOWN
41,A-WATER
112,UNKNOWN
112,CONTAMINATION
113,LUMP
123,UNKNOWN
203,BKGD ASSEMBLY ASMD WRG
206,BKGD ASSEMBLY DAMAGED
209,BKGD ASSEMBLY LOOSE
210,BKGD ASSEMBLY MISSING
219,BKGD ASSEMBLY WRONG PART
232,VACUUM SCAR
301,BASE RAIL ASSEMBLED WNG
304,BASE RAIL/MODULE DEFECT
305,BASE RAIL WRONG
306,BASE RAIL LOOSE
307,BASE RAIL/MODULE MISSING
314,BASE PAD DEFECTIVE
315,BASE RAIL/MODULE DAMAGED
316,BASE PAD DAMAGED
404,BODYSIDE DAMAGED
406,BODYSIDE MISSING
407,BODYSIDE SCREW LOOSE
408,BODYSIDE SCREW MISSING
410,BODYSIDE DEFECT
426,BODYSIDE ASSEMBLED WRONG
427,BODYSIDE LOOSE
428,BODYSIDE WRONG PART
429,BODYSIDE FOAM MISSING
430,BODYSIDE FOAM ASM WRONG
431,BODYSIDE FOAM DAMAGED
432,BODYSIDE FOAM LOOSE
433,BODYSIDE OFF GROMMET
434,Bdyside Strike Loos Miss
504,UNKNOWN
550,BROIL ELEMENT DEFECTIVE
704,BURNER BOX BTM DEFECTIVE
705,BURNER BOX BTM WRG PART
727,BURNER BOX BTM DAMAGED
728,BURNER BOX BTM ASM WRONG
729,BURNER BOX BTM LOOSE
730,BURNER BOX BTM MISSING
731,BURNER BOX BTM CHIPPED
750,BUZZER/BEEPER DEFECTIVE
751,BUZZER/BEEPER UNPLUGGED
752,BUZZER/BEEPER LOOSE
753,BUZZER/BEEPER MISSING
754,BUZZER/BEEPER ASM WRONG
755,BUZZER/BEEPER WRONG PART
850,CAVITY SCREW MISSING
851,CAVITY SCREW WRONG PART
852,CAVITY SCREW LOOSE UPPER
853,CAVITY SCREW LOOSE LOWER
874,CAV DMGD ADD WIPE
875,CAVITY CHIP ADD WASHERS
876,CAVITY SCREW LOOSE
900,UNIT FELL OFF MAINLINE
901,DMGD IN PREPACK AREA
1000,Control Harn Wrong Part
1005,Main Harness Wrong Part
1012,TOUCH HARNESS ASM WRONG
1013,TOUCH HARNESS UNPLUGGED
1014,TOUCH HARNESS DEFECTIVE
1015,TOUCH BOARD DEFECTIVE
1020,Mach Cntl Brd Defective
1021,Mach Cntl Brd Wrg Part
1022,DAM CONTROL DEFECTIVE
1023,DAM CONTROL CROSSWIRED
1024,E-PROM UPDATE
1025,NETWORK CABLE DEFECTIVE
1026,DAM CONTROL UNPLUGGED
1030,CRC CHECK
1031,CRC Passed
1032,CRC Failed
1050,CONTROL BOARD ASM WRONG
1051,Control Program Failure
1052,Control Wrong Program
1075,SOFTWARE VERSION WRONG
1076,SOFTWARE DIDN`T LOAD
1079,Communication Wire Def
1080,COMMUNICATION CABLE DEF
1081,COMMUNICATION HARN DMGD
1082,GEA2 Comm Fault
1096,ERC WIRE UNPLUGGED
1097,ERC Pigtail Unplugged
1109,GLASS BKGD DAMAGED
1110,GLASS DOOR OUTER DAMAGED
1113,CNTL PNL GLASS WRG PART
1114,CNTL PNL GLASS UNPLUGGED
1115,CON PAN SCREEN DEF
1125,MAINTOP GLASS ASM WRG
1126,MAINTOP GLASS DAMAGED
1127,MAINTOP GLASS DEFECTIVE
1128,MAINTOP GLASS LOOSE
1129,MT GLASS MISSING
1130,MAINTOP GLASS WRONG
1135,MAINTOP GLASS BACKWARDS
1140,MAINTOP EXCESS RTV
1141,Bad Screen on Glass
1150,SS MT MISSING
1175,Enter (Knob) Defective
1234,A-VACUUM SCAR
1250,REGULATORS DAMAGED
1252,REGULATORS ASM WRONG
1253,REGULATORS DEFECTIVE
1254,REGULATORS LEAK
1256,REGULATORS LOOSE
1257,REGULATORS MISSING
1301,DOOR ASSEMBLY ALIGN LO
1302,DOOR ASSEMBLY SQUEAK
1304,DOOR ASSEMBLY BINDS
1308,DOOR ASSEMBLY WRONG PART
1309,DOOR ASSEMBLY DAMAGED
1311,DOOR ASSEMBLY DEFECTIVE
1312,DOOR ASSEMBLY ASMB WRONG
1313,DOOR ASSEMBLY LOOSE
1314,DOOR ASSEMBLY MISSING
